"nom","chrome","trauma_team","kills","relations_fixers","relation_nomades","relation_corpos","source","narratif","hacks_illegaux","score"
"Viktor Vektor","8","3","25","1","2","0","auto","","5","67.1"
"Jackie Welles","1","2","28","2","5","3","auto","","10","100.0"
"Rogue Amendiares","3","2","35","1","0","4","auto","","4","100.0"
"Dum Dum","9","1","15","5","4","1","auto","","0","60.1"
"Kerry Eurodyne","3","0","6","2","5","3","auto","","6","95.4"
"Panam Palmer","10","1","0","1","3","5","auto","","8","100.0"
"Hanako Arasaka","7","1","48","2","2","5","auto","","4","100.0"
"Johnny Silverhand","1","1","34","1","3","1","auto","","0","64.5"
"Johnny Silverhand","6","3","11","0","0","2","auto","","4","100.0"
"Lizzy Wizzy","9","0","21","3","5","4","auto","","4","85.4"
"Evelyn Parker","7","1","32","2","1","0","auto","","7","60.3"
"Adam Smasher","2","3","41","5","1","0","auto","","4","100.0"
"Dum Dum","5","2","36","1","1","4","auto","","10","100.0"
"Kerry Eurodyne","6","3","32","0","3","5","auto","","5","100.0"
"Panam Palmer","2","1","30","1","0","2","auto","","5","100.0"
"Placide","3","3","48","2","2","4","auto","","4","100.0"
"Dum Dum","9","0","16","2","5","1","auto","","10","0.0"
"Johnny Silverhand","10","0","29","1","3","5","auto","","4","100.0"
"Evelyn Parker","4","0","40","2","4","1","auto","","4","53.1"
"Alt Cunningham","2","3","9","5","4","2","auto","","7","100.0"
"Saburo Arasaka","8","3","48","5","1","1","auto","","8","100.0"
"Viktor Vektor","9","0","33","4","5","2","auto","","7","39.8"
"Judy Alvarez","9","0","3","4","1","4","auto","","8","100.0"
"Claire Russell","2","1","20","3","0","5","auto","","8","100.0"
"Rogue Amendiares","9","3","5","3","0","3","auto","","8","100.0"
"Goro Takemura","8","3","29","0","4","3","auto","","9","100.0"
"Viktor Vektor","4","0","25","0","5","1","auto","","4","28.2"
"Lizzy Wizzy","1","0","27","5","0","4","auto","","5","100.0"
"Johnny Silverhand","1","3","2","3","1","1","auto","","4","100.0"
"Kerry Eurodyne","10","3","23","3","3","3","auto","","6","100.0"
"Judy Alvarez","10","1","41","0","1","4","auto","","5","77.1"
"Placide","8","1","46","0","0","2","auto","","3","76.8"
"Yorinobu Arasaka","10","3","34","1","1","3","auto","","6","100.0"
"T-Bug","2","2","12","0","5","3","auto","","1","100.0"
"Delamain","0","1","13","0","4","0","auto","","1","0.3"
"Yorinobu Arasaka","9","0","15","3","3","1","auto","","0","13.1"
"Claire Russell","3","0","8","2","1","5","auto","","8","100.0"
"Lizzy Wizzy","5","2","15","1","5","4","auto","","4","100.0"
"Alt Cunningham","6","2","17","4","4","5","auto","","0","100.0"
"River Ward","10","3","35","0","2","5","auto","","7","100.0"
"Viktor Vektor","6","2","44","3","1","2","auto","","6","100.0"
"Placide","2","3","15","2","5","1","auto","","3","100.0"
"Yorinobu Arasaka","0","3","26","4","1","3","auto","","8","100.0"
"Alt Cunningham","4","1","21","0","3","2","auto","","10","83.4"
"Judy Alvarez","8","1","3","3","5","4","auto","","4","100.0"
"Delamain","0","0","12","5","5","4","auto","","9","100.0"
"Rogue Amendiares","7","1","21","0","1","1","auto","","4","60.4"
"Dum Dum","1","3","15","5","1","3","auto","","9","100.0"
"Alt Cunningham","8","2","49","3","3","4","auto","","4","100.0"
"Kerry Eurodyne","5","2","16","4","3","3","auto","","5","100.0"
"Panam Palmer","7","2","13","2","3","0","auto","","5","68.3"
"Lizzy Wizzy","3","1","1","4","4","4","auto","","4","100.0"
"Dum Dum","6","2","9","2","1","3","auto","","3","100.0"
"Lizzy Wizzy","3","3","35","5","2","2","auto","","10","100.0"
"Hanako Arasaka","10","3","29","5","2","1","auto","","2","89.5"
"Goro Takemura","8","3","11","5","0","4","auto","","8","100.0"
"Johnny Silverhand","1","0","48","3","1","5","auto","","0","100.0"
"Alt Cunningham","1","1","0","4","3","2","auto","","3","100.0"
"Johnny Silverhand","9","3","42","0","0","4","auto","","7","100.0"
"Claire Russell","6","0","1","5","2","4","auto","","8","100.0"
"Jackie Welles","0","3","11","0","4","1","auto","","1","91.8"
"Alt Cunningham","3","2","22","3","0","2","auto","","4","100.0"
"Placide","7","1","44","2","5","0","auto","","3","35.1"
"Kerry Eurodyne","10","0","5","3","3","4","auto","","6","72.0"
"Hanako Arasaka","0","0","44","0","3","3","auto","","2","79.9"
"Kerry Eurodyne","5","0","33","1","1","5","auto","","0","100.0"
"Lizzy Wizzy","7","2","2","5","2","4","auto","","1","100.0"
"Lizzy Wizzy","10","0","11","0","1","4","auto","","5","46.8"
"Goro Takemura","6","0","19","4","1","4","auto","","2","100.0"
"Placide","10","2","24","5","5","0","auto","","2","8.3"
"Evelyn Parker","5","0","6","1","0","2","auto","","6","93.3"
"Delamain","9","3","49","0","5","2","auto","","5","71.6"
"Yorinobu Arasaka","7","1","22","3","3","1","auto","","8","77.4"
"Viktor Vektor","9","3","5","2","1","5","auto","","9","100.0"
"Judy Alvarez","1","2","9","5","5","1","auto","","6","100.0"
"Dum Dum","6","2","23","0","0","2","auto","","1","100.0"
"Yorinobu Arasaka","5","2","6","0","1","3","auto","","2","100.0"
"Yorinobu Arasaka","8","3","6","0","2","4","auto","","0","100.0"
"Judy Alvarez","9","2","24","2","3","3","auto","","0","100.0"
"Judy Alvarez","8","1","36","1","5","3","auto","","8","76.6"
"River Ward","2","2","19","3","1","0","auto","","4","95.4"
"River Ward","6","2","26","3","0","2","auto","","4","100.0"
"Dex DeShawn","3","3","38","1","3","0","auto","","9","78.1"
"Goro Takemura","4","0","25","4","3","2","auto","","5","100.0"
"Yorinobu Arasaka","5","3","41","1","2","2","auto","","9","100.0"
"Delamain","3","3","20","3","2","2","auto","","2","100.0"
"Dum Dum","10","3","36","2","3","2","auto","","3","89.4"
"Placide","5","0","36","4","4","1","auto","","3","78.2"
"Viktor Vektor","8","0","46","5","1","3","auto","","7","100.0"
"Jackie Welles","1","3","43","1","5","2","auto","","7","100.0"
"Alt Cunningham","4","1","45","3","0","3","auto","","6","100.0"
"Delamain","7","3","34","5","3","4","auto","","8","100.0"
"Johnny Silverhand","5","0","6","5","5","2","auto","","3","100.0"
"River Ward","10","0","36","5","5","3","auto","","10","38.9"
"Adam Smasher","6","0","0","2","1","4","auto","","1","100.0"
"Dum Dum","8","1","28","3","3","5","auto","","5","100.0"
"Lizzy Wizzy","8","1","22","3","0","2","auto","","0","100.0"
"Saburo Arasaka","1","0","46","2","2","2","auto","","2","84.7"
"Yorinobu Arasaka","3","3","22","0","3","5","auto","","7","100.0"
"Skippy","7","2","4","0","5","0","auto","","4","28.7"
"V","5","0","43","5","1","4","auto","","2","100.0"
"River Ward","8","1","21","3","3","1","auto","","8","53.2"
"Placide","10","1","11","5","3","3","auto","","10","72.2"
"V","9","1","28","3","3","0","auto","","9","3.1"
"Skippy","3","1","17","4","0","4","auto","","1","100.0"
"River Ward","5","2","12","0","2","5","auto","","7","100.0"
"Hanako Arasaka","8","2","38","4","3","4","auto","","6","100.0"
"Panam Palmer","5","2","29","1","5","5","auto","","9","100.0"
"Jackie Welles","9","0","43","2","0","1","auto","","2","29.6"
"Jackie Welles","1","1","23","4","3","3","auto","","2","100.0"
"Delamain","2","3","27","3","5","4","auto","","2","100.0"
"Skippy","10","1","35","3","2","1","auto","","2","23.3"
"River Ward","5","3","39","2","0","3","auto","","0","100.0"
"Goro Takemura","3","3","35","5","3","3","auto","","8","100.0"
"Viktor Vektor","7","3","45","3","1","0","auto","","7","100.0"
"Lizzy Wizzy","0","1","18","2","1","4","auto","","0","100.0"
"Jackie Welles","2","3","36","4","4","0","auto","","7","93.4"
"Lizzy Wizzy","1","2","49","2","4","0","auto","","8","43.5"
"Dum Dum","7","1","27","5","5","1","auto","","1","91.0"
"Jackie Welles","0","3","16","0","3","0","auto","","5","53.5"
"Alt Cunningham","3","2","45","5","3","1","auto","","9","100.0"
"Delamain","2","1","13","4","2","4","auto","","0","100.0"
"Dex DeShawn","9","1","20","2","4","2","auto","","4","49.7"
"Evelyn Parker","10","0","8","0","2","5","auto","","6","100.0"
"Goro Takemura","2","1","9","1","5","3","auto","","5","100.0"
"Hanako Arasaka","2","2","40","3","3","0","auto","","6","66.1"
"Kerry Eurodyne","1","3","32","5","2","3","auto","","4","100.0"
"Hanako Arasaka","5","0","49","5","3","5","auto","","1","100.0"
"Viktor Vektor","5","0","50","3","1","3","auto","","8","100.0"
"Rogue Amendiares","7","2","20","2","4","4","auto","","4","100.0"
"Goro Takemura","9","3","50","5","0","0","auto","","5","90.0"
"Panam Palmer","10","3","1","1","3","3","auto","","1","94.7"
"V","6","1","44","5","2","1","auto","","2","100.0"
"Dex DeShawn","1","2","16","2","5","5","auto","","1","100.0"
"River Ward","0","3","40","5","5","1","auto","","4","100.0"
"Saburo Arasaka","10","0","45","0","1","3","auto","","1","30.5"
"Judy Alvarez","2","1","33","3","0","0","auto","","10","50.6"
"Skippy","5","0","27","3","0","1","auto","","2","96.9"
"Placide","1","0","6","2","2","1","auto","","5","44.7"
"Placide","2","1","4","4","0","4","auto","","8","100.0"
"Kerry Eurodyne","2","3","22","5","5","1","auto","","3","100.0"
"Saburo Arasaka","9","3","13","0","1","0","auto","","1","36.7"
"Lizzy Wizzy","6","2","27","1","1","2","auto","","5","100.0"
"Kerry Eurodyne","1","1","35","4","5","4","auto","","9","100.0"
"Jackie Welles","0","2","13","4","4","1","auto","","8","83.2"
"Dum Dum","6","2","41","1","3","3","auto","","0","100.0"
"Panam Palmer","3","3","40","0","4","0","auto","","9","59.6"
"T-Bug","5","1","24","3","2","4","auto","","9","100.0"
"Viktor Vektor","2","3","49","0","4","0","auto","","1","75.6"
"V","4","1","2","3","4","2","auto","","0","100.0"
"Kerry Eurodyne","8","3","27","0","5","4","auto","","6","100.0"
"Claire Russell","9","1","17","2","0","4","auto","","1","100.0"
"Rogue Amendiares","2","2","25","5","5","5","auto","","9","100.0"
"Kerry Eurodyne","1","2","44","5","1","0","auto","","6","100.0"
"Alt Cunningham","1","3","7","4","4","0","auto","","7","95.0"
"Jackie Welles","10","1","7","5","1","5","auto","","0","100.0"
"V","2","3","22","4","5","2","auto","","8","100.0"
"River Ward","5","1","47","5","0","0","auto","","4","100.0"
"Adam Smasher","6","2","33","2","5","4","auto","","1","100.0"
"Kerry Eurodyne","1","3","29","2","0","3","auto","","8","100.0"
"Lizzy Wizzy","2","2","10","0","4","5","auto","","4","100.0"
"Dum Dum","1","1","47","0","0","0","auto","","8","32.5"
"Alt Cunningham","0","3","23","1","1","0","auto","","6","72.5"
"Claire Russell","10","3","14","1","3","5","auto","","5","100.0"
"Adam Smasher","4","0","36","0","4","5","auto","","5","100.0"
"Johnny Silverhand","2","1","33","3","0","3","auto","","0","100.0"
"Jackie Welles","4","2","5","3","0","2","auto","","8","100.0"
"Rogue Amendiares","4","2","47","1","3","2","auto","","9","100.0"
"Lizzy Wizzy","7","1","46","1","1","0","auto","","8","34.4"
"Saburo Arasaka","0","1","34","5","5","0","auto","","5","39.0"
"Adam Smasher","0","3","47","0","1","4","auto","","4","100.0"
"Alt Cunningham","6","3","3","5","2","0","auto","","2","100.0"
"Johnny Silverhand","3","3","44","3","5","0","auto","","5","91.8"
"Lizzy Wizzy","1","1","40","0","4","4","auto","","6","100.0"
"Johnny Silverhand","6","1","15","2","2","3","auto","","4","100.0"
"Skippy","5","2","28","1","0","1","auto","","4","100.0"
"Goro Takemura","9","0","9","1","3","3","auto","","1","58.0"
"Adam Smasher","6","0","34","1","3","2","auto","","5","94.0"
"Yorinobu Arasaka","4","0","5","5","2","5","auto","","2","100.0"
"Skippy","9","0","13","1","0","5","auto","","5","100.0"
"Alt Cunningham","5","3","32","5","2","2","auto","","0","100.0"
"River Ward","0","3","28","5","4","1","auto","","8","100.0"
"Panam Palmer","7","0","50","0","0","0","auto","","2","24.2"
"Alt Cunningham","2","1","25","5","5","5","auto","","5","100.0"
"Judy Alvarez","9","2","4","0","1","5","auto","","0","100.0"
"Yorinobu Arasaka","2","0","21","0","3","0","auto","","1","0.0"
"River Ward","9","3","46","3","0","3","auto","","6","100.0"
"Viktor Vektor","6","1","22","1","2","2","auto","","3","100.0"
"Yorinobu Arasaka","2","0","39","4","1","5","auto","","9","100.0"
"Jackie Welles","7","3","35","0","0","2","auto","","7","100.0"
"Placide","2","3","12","4","1","5","auto","","10","100.0"
"Claire Russell","0","3","50","3","4","3","auto","","5","100.0"
"T-Bug","9","2","24","1","0","2","auto","","4","82.4"
"Delamain","3","0","49","0","3","4","auto","","4","100.0"
"T-Bug","9","1","10","1","5","1","auto","","1","4.5"
"Dex DeShawn","8","0","48","4","3","2","auto","","3","79.6"
"River Ward","2","1","37","5","5","2","auto","","5","100.0"
"Lizzy Wizzy","0","2","36","1","4","1","auto","","9","60.6"
"Hanako Arasaka","8","2","11","0","0","0","auto","","7","31.7"
"Alt Cunningham","9","1","1","3","0","2","auto","","8","66.0"
"Delamain","3","1","21","2","0","0","auto","","2","63.0"
"Goro Takemura","9","1","49","4","2","0","auto","","1","25.5"
"T-Bug","10","3","37","2","2","2","auto","","1","96.1"
"Goro Takemura","2","3","50","3","5","2","auto","","10","100.0"
"River Ward","8","2","14","4","1","3","auto","","10","100.0"
"Jackie Welles","4","1","11","5","4","3","auto","","0","100.0"
"Lizzy Wizzy","0","1","38","4","1","5","auto","","5","100.0"
"Lizzy Wizzy","1","3","9","5","0","1","auto","","5","100.0"
"T-Bug","5","1","40","5","5","5","auto","","1","100.0"
"Dum Dum","5","3","0","1","1","5","auto","","4","100.0"
"Judy Alvarez","5","2","50","5","0","0","auto","","1","100.0"
"Placide","7","3","10","3","3","2","auto","","6","100.0"
"Claire Russell","6","0","30","5","5","1","auto","","9","76.5"
"River Ward","7","0","2","0","2","2","auto","","4","52.6"
"Panam Palmer","1","2","10","1","5","0","auto","","6","34.0"
"Claire Russell","1","2","38","3","5","0","auto","","9","52.7"
"Saburo Arasaka","10","1","38","1","0","0","auto","","6","0.0"
"Adam Smasher","3","1","26","5","5","4","auto","","8","100.0"
"Dex DeShawn","10","2","19","0","0","3","auto","","3","72.9"
"Lizzy Wizzy","8","3","9","2","0","3","auto","","0","100.0"
"Judy Alvarez","4","3","12","0","1","1","auto","","1","100.0"
"Kerry Eurodyne","4","0","30","2","3","3","auto","","1","100.0"
"Hanako Arasaka","10","2","5","4","3","1","auto","","10","29.9"
"T-Bug","6","2","11","0","2","3","auto","","7","100.0"
"Yorinobu Arasaka","4","1","17","0","1","5","auto","","9","100.0"
"Viktor Vektor","1","0","42","4","3","4","auto","","5","100.0"
"Alt Cunningham","8","0","24","3","4","5","auto","","8","100.0"
"Hanako Arasaka","9","1","30","0","3","5","auto","","4","100.0"
"Johnny Silverhand","8","1","7","1","1","1","auto","","7","35.5"
"Rogue Amendiares","2","0","27","5","3","1","auto","","1","85.9"
"Kerry Eurodyne","2","2","20","0","3","4","auto","","1","100.0"
"Placide","8","2","17","3","0","5","auto","","8","100.0"
"Delamain","9","3","7","1","1","4","auto","","6","100.0"
"Lizzy Wizzy","9","0","6","0","2","4","auto","","9","64.8"
"T-Bug","6","2","24","3","4","4","auto","","10","100.0"
"Hanako Arasaka","0","1","17","1","4","4","auto","","6","100.0"
"Viktor Vektor","6","0","25","5","1","0","auto","","5","80.0"
"Dum Dum","7","2","23","2","2","2","auto","","0","100.0"
"Dex DeShawn","7","0","14","2","5","3","auto","","2","100.0"
"Adam Smasher","4","3","38","0","1","3","auto","","10","100.0"
"Rogue Amendiares","6","3","48","2","0","4","auto","","8","100.0"
"River Ward","1","2","45","3","1","4","auto","","8","100.0"
"Lizzy Wizzy","0","1","12","0","1","0","auto","","3","16.1"
"Yorinobu Arasaka","0","2","45","2","2","3","auto","","3","100.0"
"Evelyn Parker","6","0","43","1","2","3","auto","","0","100.0"
"Delamain","7","1","30","4","2","2","auto","","9","100.0"
"River Ward","4","0","18","3","0","1","auto","","0","91.0"
"Lizzy Wizzy","3","1","41","5","1","2","auto","","3","100.0"
"Kerry Eurodyne","6","0","49","0","3","1","auto","","10","55.8"
"Kerry Eurodyne","2","0","14","4","2","5","auto","","4","100.0"
"Skippy","10","2","27","2","3","2","auto","","6","49.6"
"Rogue Amendiares","7","2","43","4","3","4","auto","","8","100.0"
"Panam Palmer","0","2","35","4","4","2","auto","","10","100.0"
"Jackie Welles","10","0","30","2","2","5","auto","","1","100.0"
"Adam Smasher","4","2","41","2","1","1","auto","","10","100.0"
"Evelyn Parker","3","0","38","5","2","5","auto","","6","100.0"
"Goro Takemura","0","3","18","3","3","3","auto","","4","100.0"
"Dum Dum","0","1","21","5","4","5","auto","","3","100.0"
"Hanako Arasaka","10","2","32","1","5","4","auto","","4","100.0"
"River Ward","4","0","30","5","2","5","auto","","2","100.0"
"Claire Russell","2","2","41","1","2","1","auto","","1","98.6"
"Dum Dum","4","3","50","2","2","4","auto","","5","100.0"
"Jackie Welles","7","0","30","5","4","4","auto","","0","100.0"
"Delamain","1","3","12","0","5","3","auto","","8","100.0"
"Evelyn Parker","4","3","3","1","1","2","auto","","2","100.0"
"Saburo Arasaka","9","3","9","5","1","0","auto","","5","73.2"
"Hanako Arasaka","5","1","20","0","0","3","auto","","10","100.0"
"Dex DeShawn","3","1","36","3","0","1","auto","","2","100.0"
"Delamain","6","3","25","3","3","0","auto","","6","100.0"
"Johnny Silverhand","8","1","46","0","2","4","auto","","5","100.0"
"Rogue Amendiares","0","0","40","1","5","2","auto","","3","57.9"
"Jackie Welles","2","0","24","4","2","1","auto","","8","64.8"
"Judy Alvarez","0","2","18","5","4","4","auto","","7","100.0"
"Evelyn Parker","5","3","43","2","3","2","auto","","2","100.0"
"Rogue Amendiares","2","3","1","1","5","1","auto","","3","95.0"
"Rogue Amendiares","0","1","7","5","5","0","auto","","5","47.3"
"Placide","10","2","49","4","0","4","auto","","8","100.0"
"Johnny Silverhand","10","0","41","0","5","0","auto","","0","0.0"
"Saburo Arasaka","7","3","7","2","3","5","auto","","8","100.0"
"Goro Takemura","3","0","19","5","0","5","auto","","6","100.0"
"Evelyn Parker","4","1","26","4","5","4","auto","","1","100.0"
"Panam Palmer","4","0","50","3","1","4","auto","","1","100.0"
"Rogue Amendiares","4","1","22","2","1","0","auto","","6","59.1"
"Claire Russell","7","1","44","2","1","0","auto","","7","49.6"
"V","10","0","7","5","3","1","auto","","9","0.0"
"Judy Alvarez","8","0","46","2","5","1","auto","","1","20.9"
"Yorinobu Arasaka","4","2","29","0","1","0","auto","","0","81.3"
"Jackie Welles","5","2","27","0","0","0","auto","","1","93.0"
"Goro Takemura","10","1","21","3","4","2","auto","","5","27.9"
"Dum Dum","1","2","21","0","3","3","auto","","2","100.0"
"Yorinobu Arasaka","4","3","44","3","5","1","auto","","7","100.0"
"Panam Palmer","2","0","10","3","4","3","auto","","1","100.0"
"Lizzy Wizzy","10","3","11","3","2","4","auto","","9","100.0"
"V","10","1","30","0","3","3","auto","","7","30.7"
"Johnny Silverhand","1","2","41","0","5","5","auto","","5","100.0"
"Evelyn Parker","9","1","42","4","4","5","auto","","5","100.0"
"Skippy","9","0","27","5","1","3","auto","","10","95.7"
"T-Bug","10","3","9","4","0","0","auto","","8","47.9"
"Kerry Eurodyne","2","3","31","0","3","2","auto","","2","100.0"
"Alt Cunningham","5","2","3","1","4","5","auto","","8","100.0"
"Placide","6","1","5","3","4","3","auto","","7","100.0"
"Judy Alvarez","7","3","20","3","5","5","auto","","1","100.0"
"V","1","3","26","4","4","0","auto","","0","100.0"
"Judy Alvarez","9","2","32","1","5","5","auto","","8","100.0"
"Yorinobu Arasaka","5","2","3","3","2","4","auto","","3","100.0"
"Delamain","9","3","45","2","5","3","auto","","10","100.0"
"Panam Palmer","1","1","0","2","5","2","auto","","5","78.1"
"Claire Russell","8","2","44","0","1","3","auto","","1","100.0"
"Goro Takemura","6","0","16","1","1","0","auto","","9","36.2"
"Placide","3","3","50","5","2","0","auto","","3","100.0"
"Saburo Arasaka","0","0","49","3","5","4","auto","","7","100.0"
"Evelyn Parker","2","3","0","5","0","4","auto","","8","100.0"
"Saburo Arasaka","9","3","32","5","4","1","auto","","2","100.0"
"Dum Dum","2","0","24","4","4","2","auto","","10","74.9"
"Evelyn Parker","6","3","38","2","3","2","auto","","3","100.0"
"Jackie Welles","7","1","8","4","5","5","auto","","6","100.0"
"Evelyn Parker","4","2","45","5","1","1","auto","","8","100.0"
"Rogue Amendiares","9","2","43","5","1","5","auto","","5","100.0"
"Kerry Eurodyne","2","2","45","2","4","3","auto","","1","100.0"
"Lizzy Wizzy","9","3","43","2","3","0","auto","","8","38.1"
"Evelyn Parker","1","0","24","0","5","0","auto","","2","0.0"
"Rogue Amendiares","4","1","18","2","1","0","auto","","10","48.0"
"Skippy","4","1","48","0","2","3","auto","","8","100.0"
"Panam Palmer","9","1","47","4","3","1","auto","","10","39.3"
"Evelyn Parker","4","0","24","3","5","2","auto","","6","87.2"
"Claire Russell","0","0","47","1","4","3","auto","","4","73.8"
"Alt Cunningham","10","2","48","4","5","4","auto","","9","100.0"
"Rogue Amendiares","3","2","28","5","0","1","auto","","2","100.0"
"River Ward","8","0","24","3","2","4","auto","","0","100.0"
"Dex DeShawn","2","1","37","0","2","3","auto","","4","100.0"
"Skippy","2","0","9","4","0","5","auto","","5","100.0"
"Delamain","10","2","31","4","2","0","auto","","9","9.5"
"Skippy","5","1","11","0","4","1","auto","","8","56.6"
"Saburo Arasaka","8","3","5","1","1","5","auto","","5","100.0"
"Adam Smasher","5","2","18","4","4","3","auto","","3","100.0"
"Claire Russell","10","0","7","2","3","1","auto","","10","0.0"
"Kerry Eurodyne","9","1","2","2","3","0","auto","","10","0.0"
"Placide","4","2","1","2","4","4","auto","","8","100.0"
"Yorinobu Arasaka","7","0","18","1","2","4","auto","","10","100.0"
"Judy Alvarez","1","1","49","4","0","5","auto","","8","100.0"
"Judy Alvarez","3","1","43","0","1","4","auto","","6","100.0"
"Skippy","6","0","47","1","0","3","auto","","10","100.0"
"Skippy","5","0","5","0","1","2","auto","","1","91.0"
"Claire Russell","1","1","16","3","3","5","auto","","6","100.0"
"Placide","6","2","1","5","0","4","auto","","6","100.0"
"V","10","0","48","0","5","0","auto","","9","0.0"
"T-Bug","8","0","18","2","4","0","auto","","10","0.0"
"Jackie Welles","7","3","25","0","3","1","auto","","10","90.1"
"Claire Russell","3","1","47","4","2","5","auto","","6","100.0"
"Goro Takemura","4","2","0","4","1","0","auto","","8","96.8"
"Johnny Silverhand","0","3","34","0","2","1","auto","","8","83.3"
"Dum Dum","5","1","26","4","1","1","auto","","10","100.0"
"River Ward","3","2","12","1","5","4","auto","","1","100.0"
"Johnny Silverhand","8","3","41","0","2","5","auto","","8","100.0"
"Judy Alvarez","4","0","12","3","2","2","auto","","9","100.0"
"Goro Takemura","10","1","6","4","0","1","auto","","4","18.7"
"Adam Smasher","7","3","21","5","2","5","auto","","9","100.0"
"Lizzy Wizzy","2","2","20","1","0","2","auto","","6","100.0"
"Alt Cunningham","3","3","17","1","5","5","auto","","5","100.0"
"Adam Smasher","7","3","28","2","3","4","auto","","5","100.0"
"Panam Palmer","2","0","17","4","1","2","auto","","2","100.0"
"Dum Dum","10","0","46","0","4","5","auto","","1","96.1"
"V","9","3","49","1","0","4","auto","","9","100.0"
"Dex DeShawn","8","3","41","2","3","1","auto","","2","100.0"
"Lizzy Wizzy","4","1","29","4","0","3","auto","","8","100.0"
"T-Bug","8","0","42","4","5","1","auto","","3","43.5"
"Evelyn Parker","2","3","10","4","4","5","auto","","2","100.0"
"Goro Takemura","7","2","2","3","1","0","auto","","3","91.3"
"Dex DeShawn","5","1","2","1","4","2","auto","","10","86.1"
"Placide","7","3","2","5","2","0","auto","","0","100.0"
"Skippy","8","2","47","4","4","4","auto","","4","100.0"
"River Ward","6","3","23","5","0","4","auto","","9","100.0"
"Dex DeShawn","6","1","33","2","2","3","auto","","6","100.0"
"Hanako Arasaka","9","0","32","3","1","1","auto","","2","23.6"
"Judy Alvarez","8","2","13","1","1","2","auto","","2","100.0"
"Delamain","1","1","26","5","0","3","auto","","5","100.0"
"Viktor Vektor","7","3","13","1","5","3","auto","","9","100.0"
"V","3","0","8","4","1","1","auto","","9","69.6"
"Kerry Eurodyne","8","0","36","0","1","2","auto","","2","56.0"
"River Ward","8","3","38","5","0","5","auto","","9","100.0"
"Dum Dum","10","2","5","3","4","3","auto","","3","91.8"
"Hanako Arasaka","2","1","26","1","4","1","auto","","9","50.1"
"Delamain","10","2","10","2","3","4","auto","","10","99.2"
"Lizzy Wizzy","1","1","24","1","0","0","auto","","6","37.5"
"Rogue Amendiares","8","3","9","0","1","3","auto","","9","100.0"
"Delamain","9","0","50","4","0","0","auto","","8","4.1"
"Hanako Arasaka","10","1","38","0","5","5","auto","","8","100.0"
"Saburo Arasaka","8","3","23","5","4","3","auto","","0","100.0"
"Alt Cunningham","7","3","22","5","5","4","auto","","9","100.0"
"Panam Palmer","6","1","16","1","0","2","auto","","7","100.0"
"Delamain","8","3","16","0","5","5","auto","","3","100.0"
"V","9","0","33","3","5","1","auto","","0","1.1"
"Skippy","5","3","23","1","3","5","auto","","1","100.0"
"Lizzy Wizzy","4","2","34","4","2","4","auto","","6","100.0"
"Dex DeShawn","10","3","48","3","4","4","auto","","3","100.0"
"Hanako Arasaka","2","2","35","3","2","2","auto","","8","100.0"
"Lizzy Wizzy","5","3","47","5","0","5","auto","","2","100.0"
"Alt Cunningham","7","1","6","4","3","2","auto","","3","100.0"
"Claire Russell","9","0","10","5","0","0","auto","","6","8.3"
"Goro Takemura","7","3","5","2","1","2","auto","","1","100.0"
"Judy Alvarez","9","0","46","3","4","5","auto","","6","100.0"
"Evelyn Parker","4","0","49","5","3","3","auto","","2","100.0"
"V","3","2","12","4","4","4","auto","","0","100.0"
"Skippy","3","1","43","2","1","5","auto","","0","100.0"
"V","2","0","17","2","5","3","auto","","6","92.7"
"Placide","9","1","33","5","5","0","auto","","0","22.1"
"Judy Alvarez","8","2","46","4","2","2","auto","","8","100.0"
"Dex DeShawn","3","1","29","4","0","2","auto","","6","100.0"
"River Ward","6","0","35","4","2","2","auto","","1","100.0"
"Panam Palmer","8","2","34","2","5","3","auto","","9","100.0"
"Placide","9","3","49","2","3","5","auto","","3","100.0"
"Yorinobu Arasaka","9","0","30","2","0","3","auto","","1","82.4"
"Kerry Eurodyne","3","1","20","2","4","4","auto","","6","100.0"
"V","4","1","18","3","5","5","auto","","1","100.0"
"Adam Smasher","1","1","30","2","1","4","auto","","5","100.0"
"Dex DeShawn","2","1","31","1","5","1","auto","","3","52.0"
"Dex DeShawn","3","1","12","4","2","1","auto","","3","100.0"
"Panam Palmer","1","0","43","3","4","0","auto","","10","5.8"
"Claire Russell","0","3","23","2","3","4","auto","","9","100.0"
"Dex DeShawn","7","1","48","2","3","1","auto","","8","71.4"
"Lizzy Wizzy","2","0","33","3","4","0","auto","","6","10.4"
"Evelyn Parker","5","3","43","3","0","5","auto","","2","100.0"
"Evelyn Parker","7","2","44","0","5","1","auto","","0","82.3"
"Placide","9","0","20","4","2","1","auto","","5","23.6"
"Claire Russell","4","1","17","4","2","2","auto","","7","100.0"
"River Ward","7","3","13","5","2","2","auto","","6","100.0"
"Placide","4","3","11","1","4","5","auto","","9","100.0"
"Alt Cunningham","1","2","15","3","3","1","auto","","8","81.4"
"Goro Takemura","2","3","0","3","3","1","auto","","2","100.0"
"Kerry Eurodyne","8","2","50","2","2","4","auto","","7","100.0"
"Lizzy Wizzy","0","3","6","0","1","2","auto","","2","100.0"
"Hanako Arasaka","10","0","28","2","2","2","auto","","5","10.9"
"Claire Russell","8","2","22","3","0","2","auto","","0","100.0"
"Viktor Vektor","9","1","36","5","5","4","auto","","9","100.0"
